trail_num, total_reward, num_actions, num_timesteps, convergence_status, action_0_calls, action_1_calls, action_2_calls
0, -1.000000, 0, 2001, 0, 0, 0, 0
1, -1.000000, 64, 2001, 0, 31, 33, 0
2, -1.000000, 39, 2001, 0, 19, 18, 2
3, -1.000000, 77, 2001, 0, 44, 31, 2
4, -1.000000, 90, 2001, 0, 46, 44, 0
5, -1.000000, 77, 2001, 0, 41, 36, 0
6, -1.000000, 73, 2001, 0, 41, 32, 0
7, -1.000000, 96, 2001, 0, 72, 24, 0
8, -1.000000, 66, 2001, 0, 30, 36, 0
9, -1.000000, 40, 2001, 0, 21, 19, 0
10, -1.000000, 114, 2001, 0, 56, 58, 0
11, -1.000000, 95, 2001, 0, 55, 39, 1
12, -1.000000, 69, 2001, 0, 34, 35, 0
13, -1.000000, 50, 2001, 0, 22, 27, 1
14, -1.000000, 67, 2001, 0, 37, 30, 0
15, -1.000000, 39, 2001, 0, 20, 18, 1
16, 1.000000, 103, 2001, 1, 59, 35, 9
17, -1.000000, 114, 2001, 0, 55, 59, 0
18, -1.000000, 86, 2001, 0, 41, 45, 0
19, -1.000000, 90, 2001, 0, 55, 35, 0
